<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIN,20171127,9.80,10.17,9.80,10.17,200,10.60,11.00,10.60,11.00,0,0,0
VIN,20171121,10.18,10.18,10.18,10.17,500,11.00,11.00,11.00,11.00,0,0,0
VIN,20171117,9.98,9.98,9.98,9.99,1000,10.80,10.80,10.80,10.80,0,0,0
VIN,20171114,9.43,9.43,9.43,9.43,100,10.20,10.20,10.20,10.20,0,0,0
VIN,20171109,9.34,9.34,9.34,9.34,100,10.10,10.10,10.10,10.10,0,0,0
VIN,20171108,8.14,8.14,8.14,8.14,100,8.80,8.80,8.80,8.80,0,0,100
VIN,20171107,9.53,9.53,9.53,9.53,100,10.30,10.30,10.30,10.30,0,0,100
VIN,20171106,9.52,9.52,9.52,9.53,100,10.30,10.30,10.30,10.30,0,0,0
VIN,20171103,8.32,8.32,8.32,8.32,100,9.00,9.00,9.00,9.00,0,0,100
VIN,20171031,9.71,9.71,9.71,9.71,500,10.50,10.50,10.50,10.50,0,0,0
VIN,20171023,9.44,9.44,9.44,9.43,200,10.20,10.20,10.20,10.20,0,0,0
VIN,20171020,8.78,8.78,8.78,8.79,200,9.50,9.50,9.50,9.50,0,0,0
VIN,20171011,10.18,10.36,10.18,10.36,600,11.00,11.20,11.00,11.20,0,0,0
VIN,20171004,9.99,9.99,9.99,9.99,100,10.80,10.80,10.80,10.80,0,0,0
VIN,20171002,9.99,9.99,9.99,9.99,200,10.80,10.80,10.80,10.80,0,0,0
VIN,20170925,9.99,9.99,9.99,9.99,200,10.80,10.80,10.80,10.80,0,0,0
VIN,20170920,9.71,9.71,9.71,9.71,500,10.50,10.50,10.50,10.50,0,0,0
VIN,20170912,9.80,9.80,9.80,9.80,1500,10.60,10.60,10.60,10.60,0,0,0
VIN,20170907,9.71,9.71,9.71,9.71,100,10.50,10.50,10.50,10.50,0,0,0
VIN,20170828,9.34,9.34,9.34,9.34,100,10.10,10.10,10.10,10.10,0,0,100
VIN,20170825,10.91,10.91,10.91,10.91,100,11.80,11.80,11.80,11.80,0,0,0
VIN,20170824,9.62,9.71,9.62,9.71,600,10.40,10.50,10.40,10.50,0,0,100
VIN,20170821,10.18,10.18,10.18,10.17,2400,11.00,11.00,11.00,11.00,0,0,0
VIN,20170818,11.00,11.00,11.00,11.01,100,11.90,11.90,11.90,11.90,0,0,0
VIN,20170731,11.00,11.00,9.71,9.71,3100,11.90,11.90,10.50,10.50,0,3000,0
VIN,20170728,9.71,9.71,9.71,9.71,5000,10.50,10.50,10.50,10.50,0,0,0
VIN,20170726,9.90,9.90,9.90,9.90,1000,10.70,10.70,10.70,10.70,0,1000,0
VIN,20170725,9.90,9.90,9.90,9.90,1000,10.70,10.70,10.70,10.70,0,0,0
VIN,20170724,9.90,9.90,9.90,9.90,2000,10.70,10.70,10.70,10.70,0,2000,0
VIN,20170721,9.90,9.90,9.90,9.90,6000,10.70,10.70,10.70,10.70,1000,3000,0
VIN,20170720,10.08,10.08,10.08,10.08,500,10.90,10.90,10.90,10.90,0,0,0
VIN,20170719,10.18,10.18,10.09,10.08,3200,11.00,11.00,10.90,10.90,0,0,0
VIN,20170718,10.17,10.17,9.89,9.90,1100,11.00,11.00,10.70,10.70,0,0,0
VIN,20170712,9.71,9.71,9.71,9.71,500,10.50,10.50,10.50,10.50,0,0,0
VIN,20170710,9.25,9.25,9.25,9.25,100,10.00,10.00,10.00,10.00,0,0,100
VIN,20170705,10.64,10.64,10.64,10.64,5700,11.50,11.50,11.50,11.50,0,0,0
VIN,20170704,10.18,10.64,10.18,10.64,2100,11.00,11.50,11.00,11.50,0,0,0
VIN,20170630,10.73,10.73,10.73,10.73,500,11.60,11.60,11.60,11.60,0,0,0
VIN,20170629,11.09,11.09,11.09,11.10,100,12.00,12.00,12.00,12.00,0,0,0
VIN,20170620,10.18,10.36,10.18,10.36,9300,11.00,11.20,11.00,11.20,0,0,0
VIN,20170613,10.26,10.26,10.26,10.27,200,12.10,12.10,12.10,12.10,0,0,0
VIN,20170609,10.10,10.44,10.10,10.18,2300,11.90,12.30,11.90,12.00,0,0,0
VIN,20170608,10.10,10.10,10.10,10.10,1000,11.90,11.90,11.90,11.90,0,0,0
VIN,20170607,10.10,10.10,10.10,10.10,500,11.90,11.90,11.90,11.90,0,0,0
VIN,20170605,10.18,10.18,10.18,10.18,500,12.00,12.00,12.00,12.00,0,0,0
VIN,20170530,10.18,10.18,9.93,9.93,5100,12.00,12.00,11.70,11.70,0,0,0
VIN,20170529,10.18,10.18,10.18,10.18,1500,12.00,12.00,12.00,12.00,0,0,0
VIN,20170525,9.93,9.93,9.93,9.93,100,11.70,11.70,11.70,11.70,0,0,0
VIN,20170524,10.18,10.18,10.18,10.18,1300,12.00,12.00,12.00,12.00,0,0,0
VIN,20170523,10.18,10.18,10.18,10.18,500,12.00,12.00,12.00,12.00,0,0,0
VIN,20170517,10.19,10.19,9.85,9.84,800,12.00,12.00,11.60,11.60,0,0,0
VIN,20170511,10.60,10.60,10.18,10.18,1000,12.50,12.50,12.00,12.00,0,0,0
VIN,20170510,10.95,10.95,10.18,10.18,4000,12.90,12.90,12.00,12.00,0,0,0
VIN,20170509,11.03,11.03,11.03,11.03,700,13.00,13.00,13.00,13.00,0,0,0
VIN,20170505,12.56,12.56,12.56,12.56,500,14.80,14.80,14.80,14.80,0,0,0
VIN,20170424,12.64,12.64,12.64,12.64,500,14.90,14.90,14.90,14.90,0,0,0
VIN,20170421,11.03,11.03,11.03,11.03,2000,13.00,13.00,13.00,13.00,0,0,0
VIN,20170420,11.03,11.03,11.03,11.03,2700,13.00,13.00,13.00,13.00,0,0,0
VIN,20170419,11.20,11.20,11.20,11.20,6000,13.20,13.20,13.20,13.20,0,0,0
VIN,20170404,12.73,12.73,12.73,12.73,5200,15.00,15.00,15.00,15.00,0,0,0
VIN,20170403,13.15,13.15,13.15,13.15,200,15.50,15.50,15.50,15.50,0,0,0
VIN,20170323,13.15,13.15,13.15,13.15,100,15.50,15.50,15.50,15.50,0,0,0
VIN,20170321,12.30,13.32,11.20,11.29,4000,14.50,15.70,13.20,13.30,0,0,0
VIN,20170315,11.88,11.88,10.27,10.27,700,14.00,14.00,12.10,12.10,0,0,0
VIN,20170314,11.71,11.71,11.71,11.71,200,13.80,13.80,13.80,13.80,0,0,0
VIN,20170309,11.20,11.71,11.20,11.71,5400,13.20,13.80,13.20,13.80,0,0,0
VIN,20170306,11.20,11.20,11.20,11.20,900,13.20,13.20,13.20,13.20,0,0,0
VIN,20170303,10.86,10.86,10.86,10.86,100,12.80,12.80,12.80,12.80,0,0,0
VIN,20170302,9.51,9.51,9.51,9.50,100,11.20,11.20,11.20,11.20,0,0,100
VIN,20170228,11.20,11.20,11.12,11.12,1100,13.20,13.20,13.10,13.10,0,0,0
VIN,20170224,11.71,11.71,11.71,11.71,200,13.80,13.80,13.80,13.80,0,0,0
VIN,20170220,10.18,10.18,10.18,10.18,100,12.00,12.00,12.00,12.00,0,100,100
VIN,20170214,11.88,12.05,11.71,12.05,1200,14.00,14.20,13.80,14.20,0,0,0
VIN,20170208,10.61,10.61,10.61,10.61,1000,12.50,12.50,12.50,12.50,0,0,0
VIN,20170125,11.03,11.45,11.03,11.46,3000,13.00,13.50,13.00,13.50,0,0,0
VIN,20170124,10.35,10.35,10.35,10.35,100,12.20,12.20,12.20,12.20,0,0,100
VIN,20170120,12.13,12.13,12.13,12.13,1500,14.30,14.30,14.30,14.30,0,0,0
VIN,20170119,12.14,12.14,12.14,12.13,10100,14.30,14.30,14.30,14.30,0,0,0
VIN,20170113,10.61,10.61,10.61,10.61,100,12.50,12.50,12.50,12.50,0,0,0
VIN,20170112,11.71,11.71,10.18,11.46,9500,13.80,13.80,12.00,13.50,0,1900,0
VIN,20170111,11.71,11.71,11.71,11.71,400,13.80,13.80,13.80,13.80,0,0,0
VIN,20170110,10.60,10.60,10.60,10.61,300,12.50,12.50,12.50,12.50,0,0,0
VIN,20170109,10.18,10.18,10.18,10.18,100,12.00,12.00,12.00,12.00,0,0,0
VIN,20170106,10.01,10.01,10.01,10.01,100,11.80,11.80,11.80,11.80,0,100,100
VIN,20170104,10.10,12.05,10.10,12.05,800,11.90,14.20,11.90,14.20,0,0,100
VIN,20161230,11.88,11.88,11.88,11.88,1300,14.00,14.00,14.00,14.00,0,0,0
VIN,20161219,10.52,10.52,10.52,10.52,1400,12.40,12.40,12.40,12.40,0,0,0
VIN,20161216,10.52,10.52,10.52,10.52,100,12.40,12.40,12.40,12.40,0,0,0
VIN,20161214,10.52,10.52,10.52,10.52,1000,12.40,12.40,12.40,12.40,0,0,0
VIN,20161213,10.44,10.44,10.44,10.44,100,12.30,12.30,12.30,12.30,0,0,100
VIN,20161208,11.54,12.30,10.69,10.69,7600,13.60,14.50,12.60,12.60,0,0,0
VIN,20161207,11.03,11.79,10.69,10.69,8000,13.00,13.90,12.60,12.60,0,0,0
VIN,20161206,10.69,10.69,10.69,10.69,1600,12.60,12.60,12.60,12.60,0,0,0
VIN,20161130,11.88,11.88,11.88,11.88,200,14.00,14.00,14.00,14.00,0,0,0
VIN,20161129,10.69,10.69,10.69,10.69,2500,12.60,12.60,12.60,12.60,0,0,0
VIN,20161128,10.69,10.69,10.69,10.69,1300,12.60,12.60,12.60,12.60,0,0,0
VIN,20161125,12.56,12.56,12.48,12.56,6500,14.80,14.80,14.70,14.80,0,0,0
VIN,20161124,12.13,12.55,12.13,12.56,5100,14.30,14.80,14.30,14.80,0,0,0
VIN,20161123,10.78,12.14,10.78,12.13,10000,12.70,14.30,12.70,14.30,0,0,0
